root	surfaces	lex	type	active	Id	flags	rules	Dil	anlam
Abdülberr			E		OZEL	özel, ad		AR	Berr'in kulu. Cömert ve ihsan edicinin kulu.-Berr, Allah'ın isimlerindendir.(bkz. el-Berr).
Abdülcebbar			E		OZEL	özel, ad		AR	Cebredici, zorlayıcı, kuvvet ve kudret sahi­bi Allah'ın kulu. Cebbar, Allah'ın isimlerindendir.
Abdülcelil			E		OZEL	özel, ad		AR	Büyük, ulu, yüce Allah'ın kulu. Celil, Allah'ın isimlerindendir.
Abdülcemal			E		OZEL	özel, ad		AR	Güzel­likleri kendinde toplayan Allah'ın ku­lu.
Abdülcevat			E		OZEL	özel, ad		AR	Cömert olan Allah'ın kulu.
Abdülehad			E		OZEL	özel, ad		AR	Şeriki ve ortağı bulunmayan, tek olan Allah'ın kulu. Ehad, Allah'ın isimlerindendir.
Abdülesed			E		OZEL	özel, ad		AR	Aslan'ın kulu.- Hz. Rasûlullah(s.a.s)'m reddet­tiği isimlerdendir. Müslümanlar kul­lanmazlar.
Abdülevvel			E		OZEL	özel, ad		AR	Herşe-yin evveli, ilk olan, varlığının başlan­gıcı bulunmayan Allah'ın kulu.
Abdülezel			E		OZEL	özel, ad		AR	Ezelden beri var olan varlığı için başlangıç söz konusu olmayan Allah'ın kulu.
Abdülferid			E		OZEL	özel, ad		AR	Tek, eş­siz, eşi olmayan, kıyas kabul etmez, üstün olan. Allah'ın kulu.(bkz. Ferid).
Abdülfettah			E		OZEL	özel, ad		AR	Zafer kazanmış, üstün gelmiş, fetheden-açan, kullarınının kapalı-müşkil işle­rini açan Allah'ın kulu.(bkz. Fettah). Allah'ın isimlerindendir.
Abdülgaffar			E		OZEL	özel, ad		AR	Kulla­rının günahlarını affeden Allah'ın ku­lu. -(bkz. Gaffar). Allah'ın isimlerindendir. "Abd" takısı almadan kullanıl­maz.
Abdülgafur			E		OZEL	özel, ad		AR	Kulları­nın günahlarını tekrar tekrar bağışla­yıcı olan Allah'ın kulu. -(bkz. Gafur). "Abd" takısı almadan kullanılmaz.
Abdülgani			E		OZEL	özel, ad		AR	Zengin, varlıklı, bol, doygun olan Allah'ın ku­lu.- Allah'ın isimlerinden,(bkz. Ga­ni).
Abdülhabir			E		OZEL	özel, ad		AR	Her şe­yin iç yüzünden, gizli ve saklılıklarından haberdar olan Allah'ın kulu.(bkz. el-Habir). Allah'ın isimlerinden.
Abdülhâdi			E		OZEL	özel, ad		AR	Hidayet eden, doğru yolu gösteren Allah'ın kulu.Allah'ın isimlerinden,(bkz. Hadi).
Abdülhafız			E		OZEL	özel, ad		AR	Herşeyi bütün ayrıntı ve inceliğiyle kayıtlayıp tutan ve dilediği zamana kadar bela ve afetlerden koruyan Allah'ın kulu. -(bkz. el-Hafız). Allah'ın isimlerinden.
Abdülhak			E		OZEL	özel, ad		AR	Hak ve ger­çek olan, varlığı hiç değişmeden du­ran Allah'ın kulu.Hak, Esmau'l-Hüsna'dandır.
Abdülhakem			E		OZEL	özel, ad		AR	Bütün iş­lerin kendisine döndürüldüğü, onun adalet ve kararına baş vurulduğu yüce Hakem Allah'ın kulu. -(bkz. el-Ha-kem). Allah'ın isimlerinden.
Abdülhakîm			E		OZEL	özel, ad		AR	Her şe­ye hükmeden Allah'ın kulu.- Hakim, Allah'ın isimlerindendir. "Abd" takısı almadan kullanılmaz.
Abdülhalik			E		OZEL	özel, ad		AR	Yaratan, yoktan vareden, yaratıcı Allah'ın ku­lu.Halik, Allah'ın isimlerinden. "Abd" takısı almadan kullanılmaz.
Abdülhalim			E		OZEL	özel, ad		AR	Tabiatı yavaş olan, yumuşak huylu, hikmetli Allah'ın kulu. -(bkz. Halim). Allah'ın isimlerinden.
Abdülhamid			E		OZEL	özel, ad		AR	Hamdolunmuş, övülmüş, bütün varlığın di­liyle övülmüş Allah'ın kulu.Hamid; Allah'ın isimlerindendir.(bkz. Ha­mid).- Türk dil kuralları açısından "d/t" olarak kullanılır.
Abdülhasib			E		OZEL	özel, ad		AR	Bütün varlıkların takdir edilen hayatları bo­yunca yaptıkları bütün işlerin ayrıntı­larıyla hesabını en iyi bilen Hasib'in kulu.Hasib; Allahın isimlerinden­dir.
Abdülhay			E		OZEL	özel, ad		AR	Daima diri olan, ebedi hayat sahibi, her şeye gü­cü yeten Cenab-ı Allah'ın kulu. -(bkz. el-Hay). Allah'ın isimlerinden.
Abdülkadir			E		OZEL	özel, ad		AR	Bitmez tükenmez kuvvet sahibi olan, her şeyi yapmaya gücü yeten Allah'ın kulu.-Kadir; Allah'ın isimlerindendir.(bkz. Kadir).
Abdülkaviy			E		OZEL	özel, ad		AR	Sonsuz güç ve kuvvet sahibi Allah'ın kulu. -Kaviy kelimesi Esmau'l-Hüsna'dandır.(bkz. el-Kaviyy).
Abdülkayyum			E		OZEL	özel, ad		AR	Bu isim her şeyin bir varlık olarak durabilmesi için neye ihtiyacı varsa onu veren, gökleri, yeri ve her şeyi tutan, baki, kaim Allah'ın kulu.Kayyum, Allah'ın isimlerindendi.(bkz. el-Kayyum).
Abdülkebir			E		OZEL	özel, ad		AR	Kebir'in, büyüklük ve Azamette eşsiz olan Allah'ın kulu.Kebir; Allah'ın isimlerindendi.(bkz. el-Kebir).
Abdülkerim			E		OZEL	özel, ad		AR	Keremi bol, cömert olan Aziz ve Celil Allah'ın kulu.Kerim; Allah'ın isimle -rindendir.(bkz. Kerim).
Abdüllatif			E		OZEL	özel, ad		AR	Latif, gü­zel, yumuşak, hoş, nazik olan bütün olayların ve eşyanın inceliklerini bi­len Allah'ın kulu.el-Latif; Allah'ın isimlerindendi.(bkz. Latif).
Abdülmacid			E		OZEL	özel, ad		AR	Kadru şanı büyük, cömertlik ve keremi bol olan, Allah'ın kulu.Macid kelimesi, Allah'ın isimlerindendi.(bkz. el-Ma-cid).
Abdülmalik			E		OZEL	özel, ad		AR	Sahip olan, her şeyin mülkiyetinin sahibi olan Allah'ın kulu.Malik; Allah'ın isimlerindendi. "Abd" takısı almadan kullanılmaz.
Abdülmecid			E		OZEL	özel, ad		AR	Şanı bü­yük ve yüksek olan, şan ve onur sahi­bi yüce Allah'ın kulu.Mecid kelime­si Allah'ın 99 isminden biridir. Sultan Abdülmecid Han
Abdülmennan			E		OZEL	özel, ad		AR	Çok ihsan eden, ihsanı bol olan Allah'ın kulu.Mennan kelimesi, Allah'ın sıfatlarındandır.
Abdülmesih			E		OZEL	özel, ad		AR	Hastala­ra şifa veren, mesih İsa'nın kulu.-(bkz. Mesih). İsim olarak kullanıl­maz.
Abdülmetin			E		OZEL	özel, ad		AR	Metanet­li, sağlam, dayanıklı olan Allah'ın ku­lu. -(bkz. Metin). Allah'ın isimlerin-dendir.
Abdülmucib			E		OZEL	özel, ad		AR	Kendisi­ne yönelip yalvaranların isteklerine cevap veren, onların dua ve tevbelerine icabet eden yüce Allah'ın kulu. Mucib, Esmau'l-Hüsna'dandır. -(bkz. el-Mucib).
Abdülmuhsi			E		OZEL	özel, ad		AR	Bütün varlıkların sayısını tek tek bilen Allah'ın kulu.Muhsi, Esmau'l-Hüs­na'dandır.
Abdülmuhyi			E		OZEL	özel, ad		AR	Hayat veren, can ve ruh veren, bütün canlı­ları ve hayatı diri tutan Allah'ın kulu.Muhyi, Allah'ın 99 isminden birisi­dir,(bkz. Muhyi).
Abdülmuid 			E		OZEL	özel, ad		AR	Yaratıl­mışları yokettikten sonra tekrar diril­ten Allah'ın kulu.Muid Allah'ın 99 isminden birisidir,(bkz. el-Muid).
Abdülmuiz			E		OZEL	özel, ad		AR	Muiz'in, izzet veren, şereflendiren Allah'ın ku­lu. -(bkz. el-Muiz). Allah'ın isimlerindendir.
Abdülmümin			E		OZEL	özel, ad		AR	Gönül­lerde iman nurunu yerleştiren, kendi­sine yönelenlere, iman nasib ederek onları hidayetine alan, koruyan yüce Allah'ın kulu.Mü'min, Allah'ın isimlerindendir.
Abdülvacid			E		OZEL	özel, ad		AR	Yoktan vareden, meydana getiren, dilediğini anında elde eden, zenginlik ve serve­tine nihayet bulunmayan Vacid'in ku­lu. Vacid, Allah'ın isimlerindendir. -(bkz. el-Vacid).
Abdülvahid			E		OZEL	özel, ad		AR	Tek ve eşsiz olan, zatında sıfatlarında, hü­kümlerinde, işlerinde asla benzeri ol­mayan Allah'ın kulu.Vahid kelimesi Cenab-ı Hakk'ın Kur'an'da zikredilen 99 isminden birisidir,(bkz. el-Vahid).
Abdülvali			E		OZEL	özel, ad		AR	Bütün alemleri ve meydana gelen bütün olayları tedbir ve idare eden Allah'ın kulu.Vali, Esmau'l-Hüsna'dandır.(bkz. el-Vali).
Abdülvâris			E		OZEL	özel, ad		AR	Gerçek servet ve zenginliklerin mutlak sahibi. Bütün zenginliklerin son ve asıl sahi­bi olan yüce Allah'ın kulu.Varis ke­limesi Allah'ın isimlerindendir.(bkz. el-Varis).
Abdülvâsi			E		OZEL	özel, ad		AR	Vasi'nin kulu.Genişlik sahibi ve müsade edici, darlık, fakirlik ve sıkıntıdan münez­zeh olan Allah'ın kulu.Vasi kelime­si, Allah'ın isimlerindendir.(bkz. el-Vasi).
Abdülvedud			E		OZEL	özel, ad		AR	Vedud'un kulu.- Allah'ın isimlerinden. Vedud; iyi amel sahibi kullarını se­ven, onlara rahmet ve rızasını yönel­ten, sevilmeye ve sayılmaya, dostluğu kazanılmaya yegane layık olan yüce Allah anlamındadır.
Abdülvehhab			E		OZEL	özel, ad		AR	Çok çeşitli nimetleri daima bağışlayan Allah'ın kulu. Vehhab, Allah'ın isimle-rindendir."Abd" takısı almadan kul­lanılmaz.
Abdülvekil			E		OZEL	özel, ad		AR	Kendisi­ne tevekkül edilen, kudretiyle kulları­nın işlerini halleden, onlara yardımcı olan yüce Allah'ın kulu.Vekil. Allah'ın isimlerindendir.(bkz. el-Vekil).
Abdülveli			E		OZEL	özel, ad		AR	Kendisine iman edenlerin dostu ve yardımcısı. Yarattıklarına mütevelli ve nazar edi­ci olan Allah'ın kulu.el-Veliyy keli­mesi Allah'ın isimlerindendir.(bkz. el-Veli).
Abdünnafi			E		OZEL	özel, ad		AR	Yararlı şeyleri ve sebeplerini kudretiyle yara­tan Allah'ın kulu.Nafı kelimesi, Allah'ın isimlerindendir.(bkz. en-Nafı).
Abdünnâsır			E		OZEL	özel, ad		AR	Yardım eden, Yardımcıların en hayırlısı, mü'minlere nusrct ve zafer veren Allah'ın kulu.Nasır, Allah'ın sıfatla-rındandır.
Abdünnur			E		OZEL	özel, ad		AR	Nur sahibi, aydınlık, parlaklık sahibi olan Allah'ın kulu.Nur, Allah'ın isimlerin­dendir.
Abdürrafi			E		OZEL	özel, ad		AR	Rafı'nin kulu.(bkz. er-Rafi). Allah'ın isimle­rinden
Abdürrahim			E		OZEL	özel, ad		AR	Merha­metli, esirgeyen, koruyan, acıyan, ahirette mümin kullarına merhamet eden Allah'ın kulu.- er-Rahim, Allah'ın isimlerindendir.
Abdürrauf			E		OZEL	özel, ad		AR	Çok lütuf, şevkat ve rahmet eden. Onları belli nimetlerle dengeli yaşatan, seviyelendiren Allah'ın kulu.(bkz. Rauf).
Abdürreşid			E		OZEL	özel, ad		AR	Allah'ın isimlerinden. Reşid'in kulu.-(bkz. er-Reşid).
Abdürrezzak			E		OZEL	özel, ad		AR	Bütün mahlukların rızkını veren Allah'ın ku­lu.Rezzak, Allah'ın isimlerindendir. "Abd" takısı almadan kullanılmaz.
Abdüssamed			E		OZEL	özel, ad		AR	Kimse­ye hiçbir şeye muhtaç olmayan, Allah'ın kulu.Samed, Allah'ın isimle­rindendir. "Abd" takısı almadan kul­lanılmaz. Türk dil kuralı açısından "d/t" olarak kullanılır.
Abdüsselam			E		OZEL	özel, ad		AR	Barış, rahatlık, selamete çıkaran, selam eden, zevalsiz ebedi olan Allah'ın ku­lu.es-Selam kelimesi, Allah'ın isim­lerindendir. "Abd" takısı almadan kullanılamaz.
Abdüssemi			E		OZEL	özel, ad		AR	Her şey­den arınmış olarak bütün sesleri, söz­leri ve kelimeleri işitip ayırdeden yü­ce Allah'ın kulu.(bkz. es-Semi').
Abdüssettar			E		OZEL	özel, ad		AR	Günah­ları örten, gizleyen Allah'ın kulu.
Abdüşşahid			E		OZEL	özel, ad		AR	Şahid'in kulu. Görünen ve görünmeyen eşya­nın hepsini görücü ve tasarruf edici olan ve her şeyi müşahade altında bu­lunduran Allah'ın kulu.Şahid, Allah'ın isimlerindendir.(bkz. eş-Şahid).
Abdüşşekûr			E		OZEL	özel, ad		AR	Emrine uyan, yasaklarından sakınan kullarını seven ve çok ikramda bulunan Allah'ın kulu.Şekür, Allah'ın isimle­rindendir. "Abd" takısı almadan kullanılmaz.
Abdüzzahir			E		OZEL	özel, ad		AR	Varlık ve birliği sonsuz sayıda eserler ve delil­lerle belli olan Allah'ın kulu.ez-Za­hir, Allah'ın isimlerindendir.(bkz. ez-Zahir).
Abendam			K		OZEL	özel, ad		PE	Güzel vü­cutlu, güzellik.
Aber			E		OZEL	özel, ad		AR	Hz. Nuh'un erkek torunu.
Abgûn			E		OZEL	özel, ad		PE	Mavi renk. Gök. 
Abher			E		OZEL	özel, ad		AR	Nergis çiçeği. 
Abhiz			E		OZEL	özel, ad		PE	Büyük dalga. 
Abılayhan			E		OZEL	özel, ad		TR	Orta cüz Kazak Hanı. Ülkesini Çinlilere, Hive hanlıklarına karşı ustaca savundu(1711-1781).
Âbid			E		OZEL	özel, ad		AR	Allah'a ibadet eden, çok ibadet eden, zahid. Kullar, köle­ler.
Âbidin			E		OZEL	özel, ad		AR	İbadet edenler-Zeyne'l-Abidin'den kısaltma isim ad. Zeynelabidin
Abşar			K		OZEL	özel, ad		AR	#NAME?
Abuşka			E		OZEL	özel, ad		TR	Koca, zevc, yaşlı erkek.
Abuzer			E		OZEL	özel, ad		FA	Altın suyu. Altın suyu gibi parlak ve görkemli. Yahut Ebu Zer(el-Gıfarî) isminin fo­netik değişikliğe uğramış şekli.
Abuzettin			E		OZEL	özel, ad		AR	Din yolun­da çabuk, hızlı giden
Aca			E		OZEL	özel, ad		TR	Amca, ağabey. 
Acabay			E		OZEL	özel, ad		TR	Amca, ağabey. 
Acahan			E		OZEL	özel, ad		TR	Amca, ağabey. 
Acar			U		OZEL	özel, ad		TR	Becerikli. 
Acaralp			E		OZEL	özel, ad		TR	Yiğit, bece­rikli, cesur kişi.
Acarbay			E		OZEL	özel, ad		TR	Doğan Acarbay, olimpiyatlarda yarışmış Türk atlet, 1948.
Acarer			E		OZEL	özel, ad		TR	Yiğit, bece­rikli, cesur kişi.
Acarkan			E		OZEL	özel, ad		TR	Yiğit, bece­rikli, cesur kişi.
Acarman			E		OZEL	özel, ad		TR	Çevik, be­cerikli, girişken.
Acaröz			E		OZEL	özel, ad		TR	Özünde yiğit­lik bulunan.
Acarsoy			E		OZEL	özel, ad		TR	Yiğit, soylu.
Acem			E		OZEL	özel, ad		AR	Arap olmayan milletlerin hepsi 
Acer			K		OZEL	özel, ad		AR	Hz. İsmail (a.s)'in annesi (bkz. Hacer).
Aclan			E		OZEL	özel, ad		AR	Hızlı, çabuk, telaşlı. Osman Bey ile çağdaş olan 1
Acun			E		OZEL	özel, ad		AR	Dünya, varlık.
Acunal			E		OZEL	özel, ad		TR	Dünyayı kap­sayan, dünyayı fetheden.
Acunalp			E		OZEL	özel, ad		TR	Dünyayı kap­sayan, dünyayı fetheden.
Acunman			E		OZEL	özel, ad		TR	Dünyaca ta­nınmış, ünlü.
Açangül			K		OZEL	özel, ad		TR	Çiçek. 
Açelya			K		OZEL	özel, ad		YU	Kokusuz, fundagillerden çeşitli renklerde çiçek­ler açan bir bitki.
Açıl			K		OZEL	özel, ad		TR	Açılmak eylemin­den emir; serpil
Açılay			K		OZEL	özel, ad		TR	Ayın dolunay halinde olmaya başlaması
Adahan			E		OZEL	özel, ad		TR	Adanın haki­mi, yöneticisi.
Adal			E		OZEL	özel, ad		TR	Adın yayılsın, ün kazan manasında.
Adaleddin 			E		OZEL	özel, ad		AR	Dinin adaleti- Türk dil kuralı açısından "d/t" olarak kullanılır.
Adalet			U		OZEL	özel, ad		AR	Hakka riayctkarlık, hak tanırlık, haklılık, doğruluk. 
Adanır			U		OZEL	özel, ad		TR	Şanlı, şöhretli
Âdem			E		OZEL	özel, ad		AF	Allah'ın yarat­tığı ilk insan, insan soyunun atası ve ilk peygamberi. 
Adeviye			K		OZEL	özel, ad		AR	İyilik, yar­dımseverlik. 
Adıgüzel			U		OZEL	özel, ad		TR	#NAME?
Âdil			E		OZEL	özel, ad		AR	Doğruluk göste­ren. Doğru. 
Âdilgiray			E		OZEL	özel, ad		AT	Kırım ve-liahtı.(1548- Kazvin 1579) Devlet Giray'ın oğlu. Osmanlı-İran savaşında Osmanlılara yardımcı oldu. İkinci Şa- mah savaşını kazanan İranlılarca tut­sak edildi ve Kazvin'de öldü.
Âdile			K		OZEL	özel, ad		AR	Doğruluk göste­ren. 
Âdilhan			E		OZEL	özel, ad		AT	Adil yöneti­ci.
Adiy			E		OZEL	özel, ad		AR	Savaşçı, savaştan geri durmayan, mücahid. Adiy b. Ha­tim et-Tai
Adnan			E		OZEL	özel, ad		AR	Cennette ölüm­süzlüğe kavuşan kimse.
Adni			E		OZEL	özel, ad		AR	Adın'a mensup,(bkz. Adnan). 
Adniye			K		OZEL	özel, ad		AR	Adın'a mensup,(bkz. Adnan). 
Afafet			K		OZEL	özel, ad		AR	Afıflik, temiz­lik, temiz olan. 
Afet			K		OZEL	özel, ad		AR	Büyük felaket, bela, musibet. 
Affan			E		OZEL	özel, ad		AR	Kötü şeylerden kaçınan, kötülüklerden uzaklaşan, te­miz. Ashab'dan bu ismi kullananlar olmuştur.
Afgan			E		OZEL	özel, ad		AR	Heyecanlı, çabuk öfkelenen. Orta Asya'da yaşayan müslüman bir kavim. Cemalettin Af-gani
Afif			K		OZEL	özel, ad		AR	İffetli, namuslu, ırz ve namus sahibi kadın. 
Afife			K		OZEL	özel, ad		AR	İffetli, namuslu, ırz ve namus sahibi kadın. 
Afil			E		OZEL	özel, ad		AR	Uful eden, gurub eden, batan(güneş, yıldız). 
Afitab			K		OZEL	özel, ad		PE	l. Güneş, gün ışığı. 
Afra			K		OZEL	özel, ad		AR	Ayın onüçüncü gecesi. 
Afşar			E		OZEL	özel, ad		TR	Oğuz Türkleri­nin 24 boyundan biri. Türkiye, Iran, Azerbaycan ve Afganistan'da dağınık olarak yaşamaktadırlar. 
Afşin			E		OZEL	özel, ad		TR	Zırh, silah. Afşin bey
Aftabe			K		OZEL	özel, ad		PE	Su kabı. 
Afuv			E		OZEL	özel, ad		AR	Daima affeden, merhametli. Esmaü'l-Hüsna'dandır. "Abd" takısı alarak kullanılır.
Agâh			E		OZEL	özel, ad		PE	Bilgili, haberli, uyanık, afif. Vakıf olmuş, malumatlı. Agah Efendi
Ager			E		OZEL	özel, ad		TR	Temiz, doğru kimse
Agra			E		OZEL	özel, ad		AR	Çok sevimli, çok yakışıklı.
Ağa			E		OZEL	özel, ad		TR	Yaşlanma manası­na gelen "ağmak"tan. Büyük, efendi. Büyük kardeş, ağabey. 
Ağahan			E		OZEL	özel, ad		TR	Nizari İsmaili imamlara verilen unvan. Doğu Türk-çesinde ağabey anlamında da kulla­nılmıştır. Türk kökenli Kaçarların onur unvanıydı. Ağa Han
Ağan			K		OZEL	özel, ad		TR	Akanyıldız, ağma
Ağaner			E		OZEL	özel, ad		TR	Saf, temiz, duru insan.
Ağar			E		OZEL	özel, ad		TR	Beyaz renkli. 
Ağca			K		OZEL	özel, ad		TR	Beyaz tenli ka­dın.
Ağgül			K		OZEL	özel, ad		TR	Beyaz gül, ak gül.
Ahad			U		OZEL	özel, ad		AR	Bir, kişi, kimse. 
Ahavi			E		OZEL	özel, ad		AR	Kardeşçe, dostça. Kardeş gibi.
Ahbarî			E		OZEL	özel, ad		AR	Haber veren, ri­vayet eden.
Ahdî			E		OZEL	özel, ad		AR	Ahd, and icabı ve­ya ahd ve ahda müteallik. Ahdî, Türk tezkire yazan ve Divan şairi(Bağdat 1593).
Ahenk			K		OZEL	özel, ad		PE	Uygun, uyum düzen, armoni. 
Ahfa			U		OZEL	özel, ad		AR	Kalb, ruh, sır, hafi, ah-fa şeklinde sıralanan "Ietafet-i hamse" sonuncusuna verilen ad.- Erkek ve kadın adı olarak kullanılır.
Ahfaz			E		OZEL	özel, ad		AR	Belleği çok kuvvetli. 
Ahfeş			E		OZEL	özel, ad		AR	Küçük gözlü, zayıf bakışlı. 
Ahî			E		OZEL	özel, ad		AR	Ahi ocağına mensup olan kimse. 
Ahid			E		OZEL	özel, ad		AR	Bir şeyin yerine getirilmesini emretmek. 
Ahkaf			E		OZEL	özel, ad		AR	Kum fırtınası 
Ahla			K		OZEL	özel, ad		AR	Çok tatı. Pek şi­rin.
Ahlas			E		OZEL	özel, ad		AR	Saf, halis, ka-rışımsız. 
Ahmed			E		OZEL	özel, ad		AR	Çok, en çok övülmüş, methedilmiş. Kur'an-ı Kerim'de Saf suresinin 
Ahmer			E		OZEL	özel, ad		AR	Kırmızı, kızıl.
Ahnef			E		OZEL	özel, ad		AR	Ayaklan çarpık ve eğri büğrü olan. Daha çok lakap olarak kullanılır. Ahmet b. Kays, as-habdan.
Ahnes			E		OZEL	özel, ad		AR	Basık ve sivri bu­runlu. Daha çok lakap olarak kullanı­lır.
Ahra			K		OZEL	özel, ad		AR	Daha layık, mü­nasip, uygun
Ahsa			U		OZEL	özel, ad		AR	Arabistan'ın Kuveyt-Katar kısmına verilen isim- Erkek ve kadın adı olarak kullanılır
Ahsen			U		OZEL	özel, ad		AR	Daha güzel, çok gü­zel, en güzel. Erkek ve kadın adı ola­rak kullanılır. Ahsen-i takvim
Ahter			K		OZEL	özel, ad		PE	Yıldız.
Ahu			K		OZEL	özel, ad		PE	Ceylan, karaca, gazal. 
Ahver			E		OZEL	özel, ad		AR	Müşteri yüzlü, güzel gözlü adam. 
Ahves			E		OZEL	özel, ad		AR	Cesur, kahraman, yiğit.
Aişe			K		OZEL	özel, ad		AR	Yaşayan, zen­ginlik ve bolluk gören. Yaşayış. Aişe binti Ebu Bekir. Peygamberimiz(s.a.s)'in hanımlarından. Muhterem annelerimizden biri olan Aişe(r.a
Ajda			K		OZEL	özel, ad		TR	Filiz sürgün. 
Akabe			E		OZEL	özel, ad		AR	Sarp geçit, çı­kılması zor yokuş. 
Akad			E		OZEL	özel, ad		TR	Doğruluğuyla, dürüstlüğüyle tanınmış kimse.
Akalın			E		OZEL	özel, ad		TR	Alnı açık, suçu olmayan, onurlu. Akalın(Besim Ö-mer Paşa). Türk hekim.
Akalp			E		OZEL	özel, ad		TR	Doğruluğu ve dürüstlüğüyle tanınan kimse.
Akanay			K		OZEL	özel, ad		TR	Yıldız küme­si.
Akansel			E		OZEL	özel, ad		TR	Akarsu. 
Akar			E		OZEL	özel, ad		TR	Akıp geçen. 
Akasma			K		OZEL	özel, ad		TR	Beyaz, mavi, morumsu, pembe çiçek veren yabani, tırmanıcı bir bitki.
Akasoy			E		OZEL	özel, ad		TR	Sevilen, sayı­lan soydan gelen
Akasya			K		OZEL	özel, ad		YU	Küçük sıra yapraklı, gölgeli küçük cinsleri süs için yetiştirilen baklagillerden bir ağaç. Salkım ağacı da denir.
Akay			U		OZEL	özel, ad		TR	Beyaz ay, ayın tam bir daire olarak dolgun, parlak görün­düğü evre. Ak ve ay kelimelerinden birleşik isim. Erkek ve kadın adı ola­rak kullanılır.
Akbatu			E		OZEL	özel, ad		TR	Yiğit erkek.
Akbatun			E		OZEL	özel, ad		TR	Yiğit erkek.
Akbehmen			E		OZEL	özel, ad		TR	Peygamber çiçeğinin eşanlamlısı.
