root	surfaces	lex	active	Id	flags	rules	Anlam
COMECON				KISALTMA		OKUNUSDAN_YAZILISA	Doğu Bloku Ülkeleri Karşılıklı Ekonomik Yardım Konseyi (Council for Mutual Economic Asistance)
cos		Kosinüs		KISALTMA		OKUNUSDAN_YAZILISA	Kosinüs
CSO		ceseo		KISALTMA		OKUNUSDAN_YAZILISA	Cumhurbaşkanlığı Senfoni Orkestrası
Cum. Bşk.		Cumhurbaşkanı, Cumhurbaşkanlığı		KISALTMA_NOKTALI			Cumhurbaşkanı, Cumhurbaşkanlığı
CÜ		ceü		KISALTMA		OKUNUSDAN_YAZILISA	Cumhuriyet Üniversitesi
ÇAYKUR		çaykur		KISALTMA		OKUNUSDAN_YAZILISA	Çay İşletmeleri Genel Müdürlüğü
çev.		Çeviren		KISALTMA_NOKTALI			Çeviren
ÇS		çese		KISALTMA		OKUNUSDAN_YAZILISA	Çimento Sanayisi
ÇUKOBİRLİK		çukobirlik		KISALTMA		OKUNUSDAN_YAZILISA	Çukurova Pamuk Tarım Satış Kooperatifleri Birliği
ÇÜ		çeü		KISALTMA		OKUNUSDAN_YAZILISA	Çankaya Üniversitesi, Çukurova Üniversitesi
Çvş.		Çavuş		KISALTMA_NOKTALI			Çavuş
D		doğu		KISALTMA		OKUNUSDAN_YAZILISA	Doğu
dal		dekalitre		KISALTMA		OKUNUSDAN_YAZILISA	Dekalitre
dam		dekametre		KISALTMA		OKUNUSDAN_YAZILISA	Dekametre
DAP		dap		KISALTMA		OKUNUSDAN_YAZILISA	Doğu Anadolu Projesi
db.		Dil bilimi		KISALTMA_NOKTALI			Dil bilimi
dbl.		Dil bilgisi		KISALTMA_NOKTALI			Dil bilgisi
DDT		dedete		KISALTMA		OKUNUSDAN_YAZILISA	Böcek öldü¬rücü (Dichloro-diphenol-trichloro-ethane)
DDY		dedeye		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Deniz Yolları
DEÜ		deü		KISALTMA		OKUNUSDAN_YAZILISA	Dokuz Eylül Üniversitesi
dg		desigram		KISALTMA		OKUNUSDAN_YAZILISA	Desigram
DGM		degeme		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Güvenlik Mahkemesi
DGS		degese		KISALTMA		OKUNUSDAN_YAZILISA	Dikey geçiş sınavı
DHMİ		dehemei		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Hava Meydanları İşletmesi
DİE		deie		KISALTMA		OKUNUSDAN_YAZILISA	Devlet İstatistik Enstitüsü
dk.		dakika		KISALTMA_NOKTALI			Dakika
dl		desilitre		KISALTMA		OKUNUSDAN_YAZILISA	Desilitre
DLH				KISALTMA		OKUNUSDAN_YAZILISA	Demiryolları Limanlar Hava Meydanları İnşaatı (Genel Müdürlüğü)
dm		desimetre		KISALTMA		OKUNUSDAN_YAZILISA	Desimetre
DMO		demeo		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Malzeme Ofisi
DNA		denea		KISALTMA		OKUNUSDAN_YAZILISA	Deoksirübo nükleik asit
Doç.		Doçent		KISALTMA_NOKTALI			Doçent
doğ.		Doğum tarihi		KISALTMA_NOKTALI			Doğum tarihi
DPT		depete		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Planlama Teşkilatı
Dr.		Doktor		KISALTMA_NOKTALI			Doktor
drl.		Derleyen		KISALTMA_NOKTALI			Derleyen
DSİ		desei		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Su İşleri
DSÖ		deseö		KISALTMA		OKUNUSDAN_YAZILISA	Dünya Sağlık Örgütü (World Health Organization)
DT		dete		KISALTMA		OKUNUSDAN_YAZILISA	Devlet Tiyatroları
DTCF		detecefe		KISALTMA		OKUNUSDAN_YAZILISA	Dil ve Tarih-Coğrafya Fakültesi
DTÖ		deteö		KISALTMA		OKUNUSDAN_YAZILISA	Dünya Ticaret Örgütü (World Trade Organization)
DÜ		deü		KISALTMA		OKUNUSDAN_YAZILISA	Dicle Üniversitesi
Dz. Kuv.		Deniz Kuvvetleri		KISALTMA_NOKTALI			Deniz Kuvvetleri
Dz. Kuv. K.		Deniz Kuvvetleri Komutanı, Komutanlığı		KISALTMA_NOKTALI			Deniz Kuvvetleri Komutanı, Komutanlığı
dzl.		Düzenleyen		KISALTMA_NOKTALI			Düzenleyen
e.		Edat		KISALTMA_NOKTALI			Edat
EAC				KISALTMA		OKUNUSDAN_YAZILISA	Avrupa İş Birliği Örgütü (European Association for Cooperation)
EAT				KISALTMA		OKUNUSDAN_YAZILISA	Eski Anadolu Türkçesi
EBU				KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Yayın Birliği (European Broadcasting Union)
Ecz.		Eczacı		KISALTMA_NOKTALI			Eczacı
ed.		Edebiyat, editör		KISALTMA_NOKTALI			Edebiyat, editör
EEG		eege		KISALTMA		OKUNUSDAN_YAZILISA	Beyin akım grafiği (Elektroensefalogram)
EFT		efete		KISALTMA		OKUNUSDAN_YAZILISA	Elektronik fon transferi
EFTA		efetea		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Serbest Ticaret Bölgesi/Birliği (European Free Trade Area/Association)
EGO		ego		KISALTMA		OKUNUSDAN_YAZILISA	Elektrik, Gaz, Otobüs İşletmeleri (Ankara Belediyesi)
EİEİ				KISALTMA		OKUNUSDAN_YAZILISA	Elektrik İşleri Etüt İdaresi
EKG		ekage		KISALTMA		OKUNUSDAN_YAZILISA	Kalp akım grafiği (Elektrokardiyogram)
ekon.		Ekonomi		KISALTMA_NOKTALI			Ekonomi
EMG		emege		KISALTMA		OKUNUSDAN_YAZILISA	Kas akım grafiği (Electromyographie)
EMK		emeka		KISALTMA		OKUNUSDAN_YAZILISA	Elektromotor kuvvet
Ens.		Enstitü, enstitüsü		KISALTMA_NOKTALI			Enstitü, enstitüsü
EPA		epea		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Parlamenterler Örgütü (European Parliamentary Association)
EPDK		epedeka		KISALTMA		OKUNUSDAN_YAZILISA	Enerji Piyasası Düzenleme Kurulu
ERDEMİR		erdemir		KISALTMA		OKUNUSDAN_YAZILISA	Ereğli Demir Çelik Fabrikaları
Erm.		Ermenice		KISALTMA_NOKTALI			Ermenice
ESA		esa		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Uzay Ajansı (European Space Agency)
ESHOT		eshot		KISALTMA		OKUNUSDAN_YAZILISA	Elektrik, Su, Hava Gazı, Otobüs, Tramvay İşletmeleri (İzmir Belediyesi)
ET				KISALTMA		OKUNUSDAN_YAZILISA	Eski Türkçe
EÜ		eü		KISALTMA		OKUNUSDAN_YAZILISA	Ege Üniversitesi
f.		Fiil		KISALTMA_NOKTALI			Fiil
Fak.		Fakülte		KISALTMA_NOKTALI			Fakülte
FAO				KISALTMA		OKUNUSDAN_YAZILISA	BM Gıda ve Tarım Teşkilatı (Food and Agriculture Organization)
Far.		Farsça		KISALTMA_NOKTALI			Farsça
FBI		efbiay		KISALTMA		OKUNUSDAN_YAZILISA	ABD Federal Araştırma Bürosu (Federal Bureau of Investigation)
fel.		Felsefe		KISALTMA_NOKTALI			Felsefe
FIBA		fiba		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Basketbol Federasyonu (Federation Internationale de Basketball Association)
FIDE		fide		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Satranç  Federasyonu (Federation Internationale des Eches)
FIFA		fifa		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Futbol Federasyonu (Federation Internationale des Football Associations)
FILA		fila		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Amatör Güreş Federasyonu (Federation Internationale de Lutte Amateur)
FIR				KISALTMA		OKUNUSDAN_YAZILISA	Uçuş hattı düzenlemesi (Flight Information Region)
fil.		Filoloji, filolojisi		KISALTMA_NOKTALI			Filoloji, filolojisi
FİSKOBİRLİK		fiskobirlik		KISALTMA		OKUNUSDAN_YAZILISA	Fındık Tarım Satış Kooperatifleri Birliği
fiz.		Fizik		KISALTMA_NOKTALI			Fizik
fizy.		Fizyoloji		KISALTMA_NOKTALI			Fizyoloji
FKB		fekabe		KISALTMA		OKUNUSDAN_YAZILISA	Fizik, kimya, biyoloji
FM		efem		KISALTMA		OKUNUSDAN_YAZILISA	Frekans Modülasyonu (Frequency Modulation)
Fr.		Fransızca		KISALTMA_NOKTALI			Fransızca
FÜ		feü		KISALTMA		OKUNUSDAN_YAZILISA	Fırat Üniversitesi
G				KISALTMA		OKUNUSDAN_YAZILISA	Güney
g		gram		KISALTMA		OKUNUSDAN_YAZILISA	Gram
GAP		gap		KISALTMA		OKUNUSDAN_YAZILISA	Güneydoğu Anadolu Projesi
GATA		gata		KISALTMA		OKUNUSDAN_YAZILISA	Gülhane Askerî Tıp Akademisi
GAZÜ		gazü		KISALTMA		OKUNUSDAN_YAZILISA	Gaziantep Üniversitesi
GB		gigabayt		KISALTMA		OKUNUSDAN_YAZILISA	Bilgisayarda bellek birimi (Gigabyte)
GB				KISALTMA		OKUNUSDAN_YAZILISA	Güneybatı
GB				KISALTMA		OKUNUSDAN_YAZILISA	Gümrük Birliği
GD				KISALTMA		OKUNUSDAN_YAZILISA	Güneydoğu
Gen.		general		KISALTMA_NOKTALI			General
geom.		geometri		KISALTMA_NOKTALI			Geometri
gn.		genel		KISALTMA_NOKTALI			Genel
Gnkur.		genelkurmay		KISALTMA_NOKTALI			Genelkurmay
GOÜ		geoü		KISALTMA		OKUNUSDAN_YAZILISA	Gazi Osmanpaşa Üniversitesi
Gön.		Gönderen		KISALTMA_NOKTALI			Gönderen
gr.		Gramer		KISALTMA_NOKTALI			Gramer
Grt		groston		KISALTMA		OKUNUSDAN_YAZILISA	Groston
GSM		geseme		KISALTMA		OKUNUSDAN_YAZILISA	Mobil cep telefonu (Global System for Mobile Communications)
GSMH		gesemehe	F	KISALTMA		OKUNUSDAN_YAZILISA	Gayrisafi millî hasıla
GSYH		geseyehe	F	KISALTMA		OKUNUSDAN_YAZILISA	Gayrisafi yurt içi hasıla
GÜ		geü		KISALTMA		OKUNUSDAN_YAZILISA	Gazi Üniversitesi
H				KISALTMA		OKUNUSDAN_YAZILISA	Hicri
HA				KISALTMA		OKUNUSDAN_YAZILISA	Harp Akademisi
HABITAT		habitat		KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler İnsan Yerleşimleri Konferansı (Centre for Human Settlements)
HAVAŞ		havaş		KISALTMA		OKUNUSDAN_YAZILISA	Hava Alanları ve Yer Hizmetleri Genel Müdürlüğü
HDD		eyçdidi		KISALTMA		OKUNUSDAN_YAZILISA	Ana bellek sürücüsü (Hard Disk Drive)
hek.		Hekimlik, hekim, hekimi		KISALTMA_NOKTALI			Hekimlik, hekim, hekimi
HIV		eyçayvi		KISALTMA		OKUNUSDAN_YAZILISA	AIDS hastalığına neden olan virüs (Human Immunodeficiency Virus)
hl		hektolitre		KISALTMA		OKUNUSDAN_YAZILISA	Hektolitre
hlk.		halk ağzı		KISALTMA_NOKTALI			Halk ağzı
hm		hektometre		KISALTMA		OKUNUSDAN_YAZILISA	Hektometre
HMUK				KISALTMA		OKUNUSDAN_YAZILISA	Hukuk Muhakemeleri Usulü Kanunu
HO				KISALTMA		OKUNUSDAN_YAZILISA	Harp Okulu
Hst.		Hastane, hastanesi		KISALTMA_NOKTALI			Hastane, hastanesi
Hs. Uzm.		Hesap Uzmanı		KISALTMA_NOKTALI			Hesap Uzmanı
huk.		Hukuk		KISALTMA_NOKTALI			Hukuk
HÜ		heü		KISALTMA		OKUNUSDAN_YAZILISA	Hacettepe Üniversitesi
Hv. Kuv.		Hava Kuvvetleri		KISALTMA_NOKTALI			Hava Kuvvetleri
Hv. Kuv. K.		Hava Kuvvetleri Komutanı, Komutanlığı		KISALTMA_NOKTALI			Hava Kuvvetleri Komutanı, Komutanlığı
Hz.		Hazret		KISALTMA_NOKTALI			Hazret
Hz.		Hizmet, hizmette		KISALTMA_NOKTALI			Hizmet, hizmette
hzl.		Hazırlayan		KISALTMA_NOKTALI			Hazırlayan
Hz. öz.		Hizmete özel		KISALTMA_NOKTALI			Hizmete özel
IAAF				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Amatör Atletizm Federasyonu (International Amateur Athletic Federation)
IAEA				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Atom Enerjisi Ajansı (International Atomic Energy Agency)
IATA				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Hava Taşımacılığı Birliği (International Air Transport Association)
ICAO				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Sivil Havacılık Örgütü (International Civil Aviation Organization)
ICJ				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Adalet Divanı (International Court of Justice)
ICRC				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Kızılhaç Komitesi (International Committee of the Red Cross)
IDA				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Kalkınma Bankası
IDB				KISALTMA		OKUNUSDAN_YAZILISA	İslam Kalkınma Bankası (Islamic Development Bank)
ILO				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Çalışma Teşkilatı (International Labor Organization)
IMF		imefe		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Para Fonu (International Monetary Fund)
INTERPOL		interpol		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Cinayet Polisi Komisyonu (International Criminal Police Commission)
IOC				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Olimpiyat Komitesi (International Olympic Committee)
IPI				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Basın Enstitüsü (International Press Institute)
IRO				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Mülteci Teşkilatı (International Refugee Organization)
ISBN		ayesbien		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Standart Kitap Numarası (International Standard Book Number)
ISMN				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Standart Müzik Numarası (International Standard Music Number)
ISO		iso		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Standartlar Örgütü (International Organization for Standardization)
ISSN				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Standart Dizi Numarası (International Standard Serial Number)
ITO		ito		KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler Uluslararası Ticaret Birliği (International Trade Organization)
İbr.		İbranice		KISALTMA_NOKTALI			İbranice
İETT		ietete		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Elektrik, Tünel, Tramvay İşletmesi
İKÖ		ikö		KISALTMA		OKUNUSDAN_YAZILISA	İslam Konferansı Örgütü
İMKB		imekabe		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Menkul Kıymetler Borsası
İng.		İngilizce		KISALTMA_NOKTALI			İngilizce
is.		İsim		KISALTMA_NOKTALI			İsim
İSDEMİR		isdemir		KISALTMA		OKUNUSDAN_YAZILISA	İskenderun Demir Çelik Fabrikaları
İSKİ		iski		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Su ve Kanalizasyon İdaresi
İSO		iso		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Sanayi Odası
İsp.		İspanyolca		KISALTMA_NOKTALI			İspanyolca
İŞKUR		işkur		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye İş Kurumu
işl.		İşleyen		KISALTMA_NOKTALI			İşleyen
İŞOT				KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Şehirler Arası Otobüs Terminali
İt.		İtalyanca		KISALTMA_NOKTALI			İtalyanca
İTB				KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Ticaret Borsası
İTO		ito		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Ticaret Odası
İTÜ		itü		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Teknik Üniversitesi
İÜ		iü		KISALTMA		OKUNUSDAN_YAZILISA	İstanbul Üniversitesi
İZTB				KISALTMA		OKUNUSDAN_YAZILISA	İzmir Ticaret Borsası
İZTO				KISALTMA		OKUNUSDAN_YAZILISA	İzmir Ticaret Odası
J				KISALTMA		OKUNUSDAN_YAZILISA	Jandarma
JAL				KISALTMA		OKUNUSDAN_YAZILISA	Japon Hava Yolları (Japan Airlines)
Jap.		Japonca	F	KISALTMA_NOKTALI			Japonca
jeol.		Jeoloji	F	KISALTMA_NOKTALI			Jeoloji
JGK		jegeka		KISALTMA		OKUNUSDAN_YAZILISA	Jandarma Genel Komutanlığı
KARDEMİR		kardemir		KISALTMA		OKUNUSDAN_YAZILISA	Karabük Demir Çelik Fabrikaları
KB			?	KISALTMA		OKUNUSDAN_YAZILISA	Kuzeybatı
KBB		kabebe		KISALTMA		OKUNUSDAN_YAZILISA	Kulak, Burun, Boğaz
KD			?	KISALTMA		OKUNUSDAN_YAZILISA	Kuzeydoğu
KDV		kadeve		KISALTMA		OKUNUSDAN_YAZILISA	Katma değer vergisi
KEİ				KISALTMA		OKUNUSDAN_YAZILISA	Karadeniz Ekonomik İş Birliği
kg		kilogram		KISALTMA	birim	OKUNUSDAN_YAZILISA	Kilogram
KGB		kagebe		KISALTMA		OKUNUSDAN_YAZILISA	Sovyet Gizli Haber Alma Teşkilatı (Komitet Gossudarrstvennoi Bezopastnosti)
KHK				KISALTMA		OKUNUSDAN_YAZILISA	Kanun hükmünde kararname
KİK				KISALTMA		OKUNUSDAN_YAZILISA	Kamu İhale Kurumu
kim.		Kimya		KISALTMA_NOKTALI			Kimya
KİT				KISALTMA		OKUNUSDAN_YAZILISA	Kamu İktisadi Teşekkülü
KKK		kakaka		KISALTMA		OKUNUSDAN_YAZILISA	Kara Kuvvetleri Komutanlığı
KKTC		kakatece		KISALTMA		OKUNUSDAN_YAZILISA	Kuzey Kıbrıs Türk Cumhuriyeti
km		kilometre		KISALTMA		OKUNUSDAN_YAZILISA	Kilometre
KMS				KISALTMA		OKUNUSDAN_YAZILISA	Kurumlar İçi Merkezî Eleme Sınavı
KOBİ		kobi		KISALTMA		OKUNUSDAN_YAZILISA	Küçük ve Orta Boy (Ölçekli) İşletme
KOİ				KISALTMA		OKUNUSDAN_YAZILISA	Kamu Ortaklığı İdaresi
koor.		Koordinasyon		KISALTMA_NOKTALI			Koordinasyon
Kor.		Kolordu		KISALTMA_NOKTALI			Kolordu
Kora.		Koramiral		KISALTMA_NOKTALI			Koramiral
Korg.		Korgeneral		KISALTMA_NOKTALI			Korgeneral
