root	surfaces	lex	active	Id	flags	rules	Anlam
AP		ape		KISALTMA		D_OKUNUSDAN_YAZILISA	ABD Haber Ajansı (Associated Press)
APS		apese		KISALTMA		D_OKUNUSDAN_YAZILISA	Acele Posta Servisi
Apt.		apartmanı		NOKTALI			Apartman, apartmanı
Ar.		arapça		NOKTALI			Arapça
ARGE		arge		KISALTMA		D_OKUNUSDAN_YAZILISA	Araştırma geliştirme
Arş. Gör.		Araştırma Görevlisi		NOKTALI			Araştırma Görevlisi
ark.		Arkeoloji		NOKTALI			Arkeoloji
As.		askerî		NOKTALI			Asker, askerî, askerlik
Asb.		Astsubay		NOKTALI			Astsubay
ASELSAN		aselsan		KISALTMA		D_OKUNUSDAN_YAZILISA	Askerî Elektronik Sanayii
As. İz.		Askerî İnzibat		NOKTALI			Askerî İnzibat
ASKİ		aski		KISALTMA		D_OKUNUSDAN_YAZILISA	Ankara Su ve Kanalizasyon İdaresi
ASO		aso		KISALTMA		D_OKUNUSDAN_YAZILISA	Ankara Sanayi Odası
AST		asete		KISALTMA		D_OKUNUSDAN_YAZILISA	Ankara Sanat Tiyatrosu
astr.		Astronomi		NOKTALI			Astronomi
astrol.		Astroloji		NOKTALI			Astroloji
AŞ		aşe		KISALTMA		D_OKUNUSDAN_YAZILISA	Anonim şirket
AŞTİ		aşti		KISALTMA		D_OKUNUSDAN_YAZILISA	Ankara Şehirler Arası Terminal İşletmesi
AT		ate		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Topluluğu
Atğm.		Asteğmen		NOKTALI			Asteğmen
atm.		Atmosfer		NOKTALI			Atmosfer
ATO		ato		KISALTMA		D_OKUNUSDAN_YAZILISA	Ankara Ticaret Odası
AÜ		aü		KISALTMA		D_OKUNUSDAN_YAZILISA	Anadolu Üniversitesi, Ankara Üniversitesi, Atatürk Üniversitesi
Av.		Avukat		NOKTALI			Avukat
BAE		beae		KISALTMA		D_OKUNUSDAN_YAZILISA	Birleşik Arap Emirlikleri
bağ.		Bağlaç		NOKTALI			Bağlaç
BAĞ-KUR		bağkur		KISALTMA		D_OKUNUSDAN_YAZILISA	Esnaf ve Sanatkârlar ve Diğer Bağımsız Çalışanlar Sosyal Sigortalar Kurumu
BBC		bibisi		KISALTMA		D_OKUNUSDAN_YAZILISA	İngiliz Radyo Televizyon Kurumu (British Broadcasting Corporation)
BCG		becege		KISALTMA		D_OKUNUSDAN_YAZILISA	Verem aşısı (Bacillus Calmette Guèrin)
Bçvş.		Başçavuş		NOKTALI			Başçavuş
BDDK		bededeka		KISALTMA		D_OKUNUSDAN_YAZILISA	Bankacılık Düzenleme ve Denetleme Kurulu
BDT		bedete		KISALTMA		D_OKUNUSDAN_YAZILISA	Bağımsız Devletler Topluluğu
bitb.		Bitki bilimi		NOKTALI			Bitki bilimi
biy.		Biyoloji		NOKTALI			Biyoloji
bk.		Bakınız		NOKTALI			Bakınız
Bl.		Bölük		NOKTALI			Bölük
bl.		Bilişim		NOKTALI			Bilişim
BM		beme		KISALTMA		D_OKUNUSDAN_YAZILISA	Birleşmiş Milletler
Bn.		Bayan		NOKTALI			Bayan
Bnb.		Binbaşı		NOKTALI			Binbaşı
bot.		Botanik		NOKTALI			Botanik
BOTAŞ		botaş		KISALTMA		D_OKUNUSDAN_YAZILISA	Boru Hatları ile Petrol Taşıma Anonim Şirketi
Böl.		Bölüm		NOKTALI			Bölüm
bs.		basım		NOKTALI			Baskı, basım
Bşk.		başkanlığı		NOKTALI			Başkan, başkanlık, başkanı, başkanlığı
BUE		beue	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Birliği Bankası (Bank of Union European)
Bul.		bulvarı		NOKTALI			Bulvar, bulvarı
Bulg.		Bulgarca		NOKTALI			Bulgarca
BÜ		beü		KISALTMA		D_OKUNUSDAN_YAZILISA	Boğaziçi Üniversitesi
Cad.		Cadde, caddesi		NOKTALI			Cadde, caddesi
CAEC			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Konseyi Parlamenter Meclisi (Consultative Assembly of European Council)
cal		kalori		KISALTMA	birim	D_OKUNUSDAN_YAZILISA	Kalori
CAO				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Sivil Havacılık Örgütü (Civil Aviation Organization)
CC			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Konsolosluk birimi (Corps Consulaire)
CD			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Kordiplomatik (Corps Diplomatique)
CDH			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa İnsan Hakları Adalet Divanı (Cour Europeenne des Droits de l’Homme)
CE			F	KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Konseyi (Council of Europe)
CENTO				KISALTMA		D_OKUNUSDAN_YAZILISA	Merkezî Antlaşma Örgütü (Central Treaty Organization)
CIA		siayey		KISALTMA		D_OKUNUSDAN_YAZILISA	ABD Merkezî Haber Alma Teşkilatı (Central Intelligence Agency)
CIF				KISALTMA		D_OKUNUSDAN_YAZILISA	Maliyet-sigorta-navlun (cost, insurance, freight)
CIOS				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Bilimsel Organizasyon Konseyi (Conseil International pour l’Organisation Scientifique)
CIP				KISALTMA		D_OKUNUSDAN_YAZILISA	Taşıma ve sigorta bedeli ödenmiş olarak teslim
CIP				KISALTMA		D_OKUNUSDAN_YAZILISA	Ticaretle uğraşan önemli kişiler (Commercially Important Person)
cm		Santimetre		KISALTMA		D_OKUNUSDAN_YAZILISA	Santimetre
CMUK		cımuk		KISALTMA		D_OKUNUSDAN_YAZILISA	Ceza Muhakemeleri Usulü Kanunu
CNRS				KISALTMA		D_OKUNUSDAN_YAZILISA	Ulusal Bilimsel Araştırma Merkezi (Centre National de la Recherche Scientifique)
coğ.		Coğrafya		NOKTALI			Coğrafya
COMECON				KISALTMA		D_OKUNUSDAN_YAZILISA	Doğu Bloku Ülkeleri Karşılıklı Ekonomik Yardım Konseyi (Council for Mutual Economic Asistance)
cos		Kosinüs		KISALTMA		D_OKUNUSDAN_YAZILISA	Kosinüs
CSO		ceseo		KISALTMA		D_OKUNUSDAN_YAZILISA	Cumhurbaşkanlığı Senfoni Orkestrası
Cum. Bşk.		Cumhurbaşkanı, Cumhurbaşkanlığı		NOKTALI			Cumhurbaşkanı, Cumhurbaşkanlığı
CÜ		ceü		KISALTMA		D_OKUNUSDAN_YAZILISA	Cumhuriyet Üniversitesi
ÇAYKUR		çaykur		KISALTMA		D_OKUNUSDAN_YAZILISA	Çay İşletmeleri Genel Müdürlüğü
çev.		Çeviren		NOKTALI			Çeviren
ÇS		çese		KISALTMA		D_OKUNUSDAN_YAZILISA	Çimento Sanayisi
ÇUKOBİRLİK		çukobirlik		KISALTMA		D_OKUNUSDAN_YAZILISA	Çukurova Pamuk Tarım Satış Kooperatifleri Birliği
ÇÜ		çeü		KISALTMA		D_OKUNUSDAN_YAZILISA	Çankaya Üniversitesi, Çukurova Üniversitesi
Çvş.		Çavuş		NOKTALI			Çavuş
D		doğu		KISALTMA		D_OKUNUSDAN_YAZILISA	Doğu
dal		dekalitre		KISALTMA		D_OKUNUSDAN_YAZILISA	Dekalitre
dam		dekametre		KISALTMA		D_OKUNUSDAN_YAZILISA	Dekametre
DAP		dap		KISALTMA		D_OKUNUSDAN_YAZILISA	Doğu Anadolu Projesi
db.		Dil bilimi		NOKTALI			Dil bilimi
dbl.		Dil bilgisi		NOKTALI			Dil bilgisi
DDT		dedete		KISALTMA		D_OKUNUSDAN_YAZILISA	Böcek öldü¬rücü (Dichloro-diphenol-trichloro-ethane)
DDY		dedeye		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Deniz Yolları
DEÜ		deü		KISALTMA		D_OKUNUSDAN_YAZILISA	Dokuz Eylül Üniversitesi
dg		desigram		KISALTMA		D_OKUNUSDAN_YAZILISA	Desigram
DGM		degeme		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Güvenlik Mahkemesi
DGS		degese		KISALTMA		D_OKUNUSDAN_YAZILISA	Dikey geçiş sınavı
DHMİ		dehemei		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Hava Meydanları İşletmesi
DİE		deie		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet İstatistik Enstitüsü
dk.		dakika		NOKTALI			Dakika
dl		desilitre		KISALTMA		D_OKUNUSDAN_YAZILISA	Desilitre
DLH				KISALTMA		D_OKUNUSDAN_YAZILISA	Demiryolları Limanlar Hava Meydanları İnşaatı (Genel Müdürlüğü)
dm		desimetre		KISALTMA		D_OKUNUSDAN_YAZILISA	Desimetre
DMO		demeo		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Malzeme Ofisi
DNA		denea		KISALTMA		D_OKUNUSDAN_YAZILISA	Deoksirübo nükleik asit
Doç.		Doçent		NOKTALI			Doçent
doğ.		Doğum tarihi		NOKTALI			Doğum tarihi
DPT		depete		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Planlama Teşkilatı
Dr.		Doktor		NOKTALI			Doktor
drl.		Derleyen		NOKTALI			Derleyen
DSİ		desei		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Su İşleri
DSÖ		deseö		KISALTMA		D_OKUNUSDAN_YAZILISA	Dünya Sağlık Örgütü (World Health Organization)
DT		dete		KISALTMA		D_OKUNUSDAN_YAZILISA	Devlet Tiyatroları
DTCF		detecefe		KISALTMA		D_OKUNUSDAN_YAZILISA	Dil ve Tarih-Coğrafya Fakültesi
DTÖ		deteö		KISALTMA		D_OKUNUSDAN_YAZILISA	Dünya Ticaret Örgütü (World Trade Organization)
DÜ		deü		KISALTMA		D_OKUNUSDAN_YAZILISA	Dicle Üniversitesi
Dz. Kuv.		Deniz Kuvvetleri		NOKTALI			Deniz Kuvvetleri
Dz. Kuv. K.		Deniz Kuvvetleri Komutanı, Komutanlığı		NOKTALI			Deniz Kuvvetleri Komutanı, Komutanlığı
dzl.		Düzenleyen		NOKTALI			Düzenleyen
e.		Edat		NOKTALI			Edat
EAC				KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa İş Birliği Örgütü (European Association for Cooperation)
EAT				KISALTMA		D_OKUNUSDAN_YAZILISA	Eski Anadolu Türkçesi
EBU				KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Yayın Birliği (European Broadcasting Union)
Ecz.		Eczacı		NOKTALI			Eczacı
ed.		Edebiyat, editör		NOKTALI			Edebiyat, editör
EEG		eege		KISALTMA		D_OKUNUSDAN_YAZILISA	Beyin akım grafiği (Elektroensefalogram)
EFT		efete		KISALTMA		D_OKUNUSDAN_YAZILISA	Elektronik fon transferi
EFTA		efetea		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Serbest Ticaret Bölgesi/Birliği (European Free Trade Area/Association)
EGO		ego		KISALTMA		D_OKUNUSDAN_YAZILISA	Elektrik, Gaz, Otobüs İşletmeleri (Ankara Belediyesi)
EİEİ				KISALTMA		D_OKUNUSDAN_YAZILISA	Elektrik İşleri Etüt İdaresi
EKG		ekage		KISALTMA		D_OKUNUSDAN_YAZILISA	Kalp akım grafiği (Elektrokardiyogram)
ekon.		Ekonomi		NOKTALI			Ekonomi
EMG		emege		KISALTMA		D_OKUNUSDAN_YAZILISA	Kas akım grafiği (Electromyographie)
EMK		emeka		KISALTMA		D_OKUNUSDAN_YAZILISA	Elektromotor kuvvet
Ens.		Enstitü, enstitüsü		NOKTALI			Enstitü, enstitüsü
EPA		epea		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Parlamenterler Örgütü (European Parliamentary Association)
EPDK		epedeka		KISALTMA		D_OKUNUSDAN_YAZILISA	Enerji Piyasası Düzenleme Kurulu
ERDEMİR		erdemir		KISALTMA		D_OKUNUSDAN_YAZILISA	Ereğli Demir Çelik Fabrikaları
Erm.		Ermenice		NOKTALI			Ermenice
ESA		esa		KISALTMA		D_OKUNUSDAN_YAZILISA	Avrupa Uzay Ajansı (European Space Agency)
ESHOT		eshot		KISALTMA		D_OKUNUSDAN_YAZILISA	Elektrik, Su, Hava Gazı, Otobüs, Tramvay İşletmeleri (İzmir Belediyesi)
ET				KISALTMA		D_OKUNUSDAN_YAZILISA	Eski Türkçe
EÜ		eü		KISALTMA		D_OKUNUSDAN_YAZILISA	Ege Üniversitesi
f.		Fiil		NOKTALI			Fiil
Fak.		Fakülte		NOKTALI			Fakülte
FAO				KISALTMA		D_OKUNUSDAN_YAZILISA	BM Gıda ve Tarım Teşkilatı (Food and Agriculture Organization)
Far.		Farsça		NOKTALI			Farsça
FBI		efbiay		KISALTMA		D_OKUNUSDAN_YAZILISA	ABD Federal Araştırma Bürosu (Federal Bureau of Investigation)
fel.		Felsefe		NOKTALI			Felsefe
FIBA		fiba		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Basketbol Federasyonu (Federation Internationale de Basketball Association)
FIDE		fide		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Satranç  Federasyonu (Federation Internationale des Eches)
FIFA		fifa		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Futbol Federasyonu (Federation Internationale des Football Associations)
FILA		fila		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Amatör Güreş Federasyonu (Federation Internationale de Lutte Amateur)
FIR				KISALTMA		D_OKUNUSDAN_YAZILISA	Uçuş hattı düzenlemesi (Flight Information Region)
fil.		Filoloji, filolojisi		NOKTALI			Filoloji, filolojisi
FİSKOBİRLİK		fiskobirlik		KISALTMA		D_OKUNUSDAN_YAZILISA	Fındık Tarım Satış Kooperatifleri Birliği
fiz.		Fizik		NOKTALI			Fizik
fizy.		Fizyoloji		NOKTALI			Fizyoloji
FKB		fekabe		KISALTMA		D_OKUNUSDAN_YAZILISA	Fizik, kimya, biyoloji
FM		efem		KISALTMA		D_OKUNUSDAN_YAZILISA	Frekans Modülasyonu (Frequency Modulation)
Fr.		Fransızca		NOKTALI			Fransızca
FÜ		feü		KISALTMA		D_OKUNUSDAN_YAZILISA	Fırat Üniversitesi
G				KISALTMA		D_OKUNUSDAN_YAZILISA	Güney
g		gram		KISALTMA		D_OKUNUSDAN_YAZILISA	Gram
GAP		gap		KISALTMA		D_OKUNUSDAN_YAZILISA	Güneydoğu Anadolu Projesi
GATA		gata		KISALTMA		D_OKUNUSDAN_YAZILISA	Gülhane Askerî Tıp Akademisi
GAZÜ		gazü		KISALTMA		D_OKUNUSDAN_YAZILISA	Gaziantep Üniversitesi
GB		gigabayt		KISALTMA		D_OKUNUSDAN_YAZILISA	Bilgisayarda bellek birimi (Gigabyte)
GB				KISALTMA		D_OKUNUSDAN_YAZILISA	Güneybatı
GB				KISALTMA		D_OKUNUSDAN_YAZILISA	Gümrük Birliği
GD				KISALTMA		D_OKUNUSDAN_YAZILISA	Güneydoğu
Gen.		general		NOKTALI			General
geom.		geometri		NOKTALI			Geometri
gn.		genel		NOKTALI			Genel
Gnkur.		genelkurmay		NOKTALI			Genelkurmay
GOÜ		geoü		KISALTMA		D_OKUNUSDAN_YAZILISA	Gazi Osmanpaşa Üniversitesi
Gön.		Gönderen		NOKTALI			Gönderen
gr.		Gramer		NOKTALI			Gramer
Grt		groston		KISALTMA		D_OKUNUSDAN_YAZILISA	Groston
GSM		geseme		KISALTMA		D_OKUNUSDAN_YAZILISA	Mobil cep telefonu (Global System for Mobile Communications)
GSMH		gesemehe	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Gayrisafi millî hasıla
GSYH		geseyehe	F	KISALTMA		D_OKUNUSDAN_YAZILISA	Gayrisafi yurt içi hasıla
GÜ		geü		KISALTMA		D_OKUNUSDAN_YAZILISA	Gazi Üniversitesi
H				KISALTMA		D_OKUNUSDAN_YAZILISA	Hicri
HA				KISALTMA		D_OKUNUSDAN_YAZILISA	Harp Akademisi
HABITAT		habitat		KISALTMA		D_OKUNUSDAN_YAZILISA	Birleşmiş Milletler İnsan Yerleşimleri Konferansı (Centre for Human Settlements)
HAVAŞ		havaş		KISALTMA		D_OKUNUSDAN_YAZILISA	Hava Alanları ve Yer Hizmetleri Genel Müdürlüğü
HDD		eyçdidi		KISALTMA		D_OKUNUSDAN_YAZILISA	Ana bellek sürücüsü (Hard Disk Drive)
hek.		Hekimlik, hekim, hekimi		NOKTALI			Hekimlik, hekim, hekimi
HIV		eyçayvi		KISALTMA		D_OKUNUSDAN_YAZILISA	AIDS hastalığına neden olan virüs (Human Immunodeficiency Virus)
hl		hektolitre		KISALTMA		D_OKUNUSDAN_YAZILISA	Hektolitre
hlk.		halk ağzı		NOKTALI			Halk ağzı
hm		hektometre		KISALTMA		D_OKUNUSDAN_YAZILISA	Hektometre
HMUK				KISALTMA		D_OKUNUSDAN_YAZILISA	Hukuk Muhakemeleri Usulü Kanunu
HO				KISALTMA		D_OKUNUSDAN_YAZILISA	Harp Okulu
Hst.		Hastane, hastanesi		NOKTALI			Hastane, hastanesi
Hs. Uzm.		Hesap Uzmanı		NOKTALI			Hesap Uzmanı
huk.		Hukuk		NOKTALI			Hukuk
HÜ		heü		KISALTMA		D_OKUNUSDAN_YAZILISA	Hacettepe Üniversitesi
Hv. Kuv.		Hava Kuvvetleri		NOKTALI			Hava Kuvvetleri
Hv. Kuv. K.		Hava Kuvvetleri Komutanı, Komutanlığı		NOKTALI			Hava Kuvvetleri Komutanı, Komutanlığı
Hz.		Hazret		NOKTALI			Hazret
Hz.		Hizmet, hizmette		NOKTALI			Hizmet, hizmette
hzl.		Hazırlayan		NOKTALI			Hazırlayan
Hz. öz.		Hizmete özel		NOKTALI			Hizmete özel
IAAF				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Amatör Atletizm Federasyonu (International Amateur Athletic Federation)
IAEA				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Atom Enerjisi Ajansı (International Atomic Energy Agency)
IATA				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Hava Taşımacılığı Birliği (International Air Transport Association)
ICAO				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Sivil Havacılık Örgütü (International Civil Aviation Organization)
ICJ				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Adalet Divanı (International Court of Justice)
ICRC				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Kızılhaç Komitesi (International Committee of the Red Cross)
IDA				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Kalkınma Bankası
IDB				KISALTMA		D_OKUNUSDAN_YAZILISA	İslam Kalkınma Bankası (Islamic Development Bank)
ILO				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Çalışma Teşkilatı (International Labor Organization)
IMF		imefe		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Para Fonu (International Monetary Fund)
INTERPOL		interpol		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Cinayet Polisi Komisyonu (International Criminal Police Commission)
IOC				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Olimpiyat Komitesi (International Olympic Committee)
IPI				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Basın Enstitüsü (International Press Institute)
IRO				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Mülteci Teşkilatı (International Refugee Organization)
ISBN		ayesbien		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Standart Kitap Numarası (International Standard Book Number)
ISMN				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Standart Müzik Numarası (International Standard Music Number)
ISO		iso		KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Standartlar Örgütü (International Organization for Standardization)
ISSN				KISALTMA		D_OKUNUSDAN_YAZILISA	Uluslararası Standart Dizi Numarası (International Standard Serial Number)
ITO		ito		KISALTMA		D_OKUNUSDAN_YAZILISA	Birleşmiş Milletler Uluslararası Ticaret Birliği (International Trade Organization)
İbr.		İbranice		NOKTALI			İbranice
İETT		ietete		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Elektrik, Tünel, Tramvay İşletmesi
İKÖ		ikö		KISALTMA		D_OKUNUSDAN_YAZILISA	İslam Konferansı Örgütü
İMKB		imekabe		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Menkul Kıymetler Borsası
İng.		İngilizce		NOKTALI			İngilizce
is.		İsim		NOKTALI			İsim
İSDEMİR		isdemir		KISALTMA		D_OKUNUSDAN_YAZILISA	İskenderun Demir Çelik Fabrikaları
İSKİ		iski		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Su ve Kanalizasyon İdaresi
İSO		iso		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Sanayi Odası
İsp.		İspanyolca		NOKTALI			İspanyolca
İŞKUR		işkur		KISALTMA		D_OKUNUSDAN_YAZILISA	Türkiye İş Kurumu
işl.		İşleyen		NOKTALI			İşleyen
İŞOT				KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Şehirler Arası Otobüs Terminali
İt.		İtalyanca		NOKTALI			İtalyanca
İTB				KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Ticaret Borsası
İTO		ito		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Ticaret Odası
İTÜ		itü		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Teknik Üniversitesi
İÜ		iü		KISALTMA		D_OKUNUSDAN_YAZILISA	İstanbul Üniversitesi
İZTB				KISALTMA		D_OKUNUSDAN_YAZILISA	İzmir Ticaret Borsası
İZTO				KISALTMA		D_OKUNUSDAN_YAZILISA	İzmir Ticaret Odası
J				KISALTMA		D_OKUNUSDAN_YAZILISA	Jandarma
JAL				KISALTMA		D_OKUNUSDAN_YAZILISA	Japon Hava Yolları (Japan Airlines)
Jap.		Japonca	F	NOKTALI			Japonca
jeol.		Jeoloji	F	NOKTALI			Jeoloji
JGK		jegeka		KISALTMA		D_OKUNUSDAN_YAZILISA	Jandarma Genel Komutanlığı
KARDEMİR		kardemir		KISALTMA		D_OKUNUSDAN_YAZILISA	Karabük Demir Çelik Fabrikaları
KB			?	KISALTMA		D_OKUNUSDAN_YAZILISA	Kuzeybatı
KBB		kabebe		KISALTMA		D_OKUNUSDAN_YAZILISA	Kulak, Burun, Boğaz
KD			?	KISALTMA		D_OKUNUSDAN_YAZILISA	Kuzeydoğu
KDV		kadeve		KISALTMA		D_OKUNUSDAN_YAZILISA	Katma değer vergisi
KEİ				KISALTMA		D_OKUNUSDAN_YAZILISA	Karadeniz Ekonomik İş Birliği
kg		kilogram		KISALTMA	birim	D_OKUNUSDAN_YAZILISA	Kilogram
KGB		kagebe		KISALTMA		D_OKUNUSDAN_YAZILISA	Sovyet Gizli Haber Alma Teşkilatı (Komitet Gossudarrstvennoi Bezopastnosti)
KHK				KISALTMA		D_OKUNUSDAN_YAZILISA	Kanun hükmünde kararname
KİK				KISALTMA		D_OKUNUSDAN_YAZILISA	Kamu İhale Kurumu
kim.		Kimya		NOKTALI			Kimya
KİT				KISALTMA		D_OKUNUSDAN_YAZILISA	Kamu İktisadi Teşekkülü
KKK		kakaka		KISALTMA		D_OKUNUSDAN_YAZILISA	Kara Kuvvetleri Komutanlığı
KKTC		kakatece		KISALTMA		D_OKUNUSDAN_YAZILISA	Kuzey Kıbrıs Türk Cumhuriyeti
km		kilometre		KISALTMA		D_OKUNUSDAN_YAZILISA	Kilometre
KMS				KISALTMA		D_OKUNUSDAN_YAZILISA	Kurumlar İçi Merkezî Eleme Sınavı
KOBİ		kobi		KISALTMA		D_OKUNUSDAN_YAZILISA	Küçük ve Orta Boy (Ölçekli) İşletme
KOİ				KISALTMA		D_OKUNUSDAN_YAZILISA	Kamu Ortaklığı İdaresi
koor.		Koordinasyon		NOKTALI			Koordinasyon
Kor.		Kolordu		NOKTALI			Kolordu
Kora.		Koramiral		NOKTALI			Koramiral
Korg.		Korgeneral		NOKTALI			Korgeneral
KOSGEB		kosgeb		KISALTMA		D_OKUNUSDAN_YAZILISA	Küçük ve Orta Ölçekli Sanayiyi Geliştirme ve Destekleme İdaresi Başkanlığı
KPDS		kapedese		KISALTMA		D_OKUNUSDAN_YAZILISA	Kamu Personeli Yabancı Dil Tespit Sınavı
krş.		Karşılaştırınız		NOKTALI			Karşılaştırınız
KTÜ		katü		KISALTMA		D_OKUNUSDAN_YAZILISA	Karadeniz Teknik Üniversitesi
Kur.		Kurmay		NOKTALI			Kurmay
